Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
151,newJr. Software Engineer (Data Engineering-Python),Konverge.AI,,,"Pune, Maharashtra","
1+ years work experience as a Python Developer.
Expertise in at least one Python framework (like Django or Flask).
",
152,Technical Support Engineer (Open for Freshers),Samespace India Pvt. Ltd.,,,"Mumbai, Maharashtra","
The Samespace is looking for a customer focused Technical Support Engineer with a proven track record of providing excellent customer or technical support.
",
153,newAssociate Electronics Engineer,Botloka,,,"Bengaluru, Karnataka","
Associate Electronics Engineer - JDWe are looking for an electronics/hardware engineer with 2-4 years of experience who has strong fundamentals in analog…
",
154,Automation Test Engineer,Hugobyte AI Labs,,,"Bengaluru, Karnataka","
Design, build and maintain efficient, reusable, and reliable Python architecture and code.
Design and write highly efficient complex algorithms.
",
155,GEOSPATIAL ANALYST,Pixxel,,,"Bengaluru, Karnataka","
Collaborate with data scientists, and ML/AI engineers and work towards development of a product .
You will be working on developing agroecosystem modeling and…
",
156,Embedded Engineer,shevolve,,,"Pune, Maharashtra","
Developing end to end embedded devices / product to align with overall solutions architect.
Selecting and using the most appropriate and efficient technologies…
",
157,Applied ML Engineer,4CRisk.ai Software,,,"Bengaluru, Karnataka","
4CRisk is an AI start-up uniquely positioned to identify and solve the annual $300 billion Risk and Compliance problem for banks, non-bank financial…
",
158,Engineer,LT Technology Services,,,"Bengaluru, Karnataka","
Job Description for SystemC Modelling (C++ with Embedded background (with hardware knowledge) :
Responsible for development of SystemC models for architectural…
",
159,AI / ML Engineer ( Google Cloud),Techneplus,,,"Chennai, Tamil Nadu","
We are looking for a highly capable machine learning engineer to optimize our machine learning systems.
Analyzing the ML algorithms that could be used to solve…
",
160,"Physical Design Methodology Engineer, ASIC",Google,,,"Bengaluru, Karnataka","
Bachelor's degree in Electrical Engineering, Technology, or related field or equivalent practical experience.
Experience in high-performance synthesis, PnR, and…
",
161,AI & ML Engineer,Stanra Tech Solutions,,,"Kochi, Kerala","
6+ years of experience in AI, Machine learning and Data Science.
Experience in using AI and ML services from the GCP and AWS.
",
162,Software Engineer,Purplegrids,,,"Bengaluru, Karnataka","
Designs Conversation Scripts, Bot Responses and user journey to create consumer facing Chatbots with personality, character and human user interactions.
",
163,Data Engineer,Peak AI,,,"Pune, Maharashtra","
You'll get to work closely with our Data Science and Customer Success teams to deliver AI solutions for our customers, ultimately helping those customers grow…
",
164,newSenior QA Engineer,IBM,,,"Kochi, Kerala+1 location","
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",
165,ML Engineer,Merit Group,,,"Chennai, Tamil Nadu","
Mentor junior and mid-level engineers;
Minimum 3 – 5 years of on the job experience in Domain (ML, DL, NLP).
Ability to design and develop machine learning and…
",
166,ML Engineer,Merit Group,,,"Chennai, Tamil Nadu","
Mentor junior and mid-level engineers;
Minimum 3 – 5 years of on the job experience in Domain (ML, DL, NLP).
Ability to design and develop machine learning and…
",
167,"MTS/SMTS UI Engineer Bangalore, Karnataka",VMware,,,"Bengaluru, Karnataka+1 location","
The team consists of engineers, architects, UX designers and Product managers, with experience ranging from less than a year to more than 20 years.
",
168,newSenior Operations Engineer,firstlight.ai,,,"Chennai, Tamil Nadu","
Receiving direction from multiple parties and correlating action items.
Acknowledge, analyze and validate incidents received through other reporting mechanisms…
",
169,Software Engineer,Neoastra Technologies India,,,"Remote in Bengaluru, Karnataka","
AI EngineerLocation- Bangalore, IndiaBenefits: Health Insurance, Paid Time Off.
Experience: 0 to 2 Years.
Travel: May have to frequently visit on-site within…
",
170,Deep Learning Engineer,RadiusAI,,,Remote in Karnataka,"
RadiusAI is an early-stage startup that is helping brick & mortar retailers provide a level of experience that surpasses online experiences through AI and video…
",
171,newInformation Security Engineer,MoEngage,,,"Bengaluru, Karnataka","
We enable hyper-personalization at scale across multiple channels like mobile push, email, in-app, web push, on-site messages, and SMS.
",
172,AI Engineer - 3D Perception,Continental,,,"Bengaluru, Karnataka","
Implement computer vision algorithms in an embedded development environment.
Ground truth, test, and validate algorithms for statistical performance, as it…
",
173,EDI Engineer,Rockwell Automation,,,"Pune, Maharashtra","
System Monitoring and general support.
Ensure all production transactions are successfully processed.
Analyze and resolve failed transactions.
",
174,newTechnical Services Engineer – Guardium L2,IBM,,,"Ahmedabad, Gujarat+1 location","
Our engineers are expected to become product subject matter experts by continuously enhancing and growing technical and communication skills.
",
175,ASIC/SoC RTL Engineer,Google,,,"Bengaluru, Karnataka","
We need our engineers to be versatile and passionate to take on new problems as we continue to push technology forward.
MSSE with 5 years of experience.
",
176,Customer Support Engineer,Purplegrids,,,"Bengaluru, Karnataka","
Provide global support for our worldwide customer base and manage simultaneous customer cases in a highly demanding environment.
Graduate in Masters/Bachelor’s.
",
177,newAutomation Engineer (PLC),FACTANA,,,"Bengaluru, Karnataka","
We are looking for Industrial Automation Engineer with minimum of 2 – 3 years of experience in PLC and SCADA based Automation Engineering to be part of our…
",
178,Research Engineer,Amex,,,"Gurgaon, Haryana","
Depending on role and business needs, colleagues will either work onsite, in a hybrid model (combination of in-office and virtual days) or fully virtually.
",
179,newLead Appl/Sys Sales Engineer,Honeywell,,,"Pune, Maharashtra","
These solutions uniquely combine domain expertise and industry proven technology.
The Optimization Consultant is responsible for supporting the Regional…
",
180,QA Engineer/Sr. QA Engineer (Manual + Automation),GoKwik,,,Temporarily Remote in India,"
It leverages AI/ML technologies to solve hard-hitting problems like RTO to increase CoD conversion rates.
As QA Engineer, the responsibility will be (Manual 70%…
",
181,ML/AI Engineers,innData Analytics,,,"Visakhapatnam, Andhra Pradesh","
Researching and implementing ML Algorithms and tools.
Picking appropriate data representation methods.
Identifying differences in data distribution that affects…
",
182,newData Engineer,BT,,,India,"
Our Data Engineering teams are building our next generation Data platforms and are our main contributors to materialise BT Digital strategy.
",
183,Sr Technical Support Engineer,AUTOMATION ANYWHERE,,,"Vadodara, Gujarat","
The engineer should be ready to work 24X7X365 rotating shift based on business requirements.
Frontline engineer is also responsible for KB and RCA for the non…
",
184,Integrations Engineer,Bluecore,,,+1 locationRemote,"
As an IE, you will bring your technical know-how to the main connections of the Bluecore engine to our clients - drawing meaningful intelligence from their…
",
185,Associate MLOps Engineer,XenonStack,,,"Chandigarh, Chandigarh","
XenonStack’s Artificial intelligence team is looking for a passionate Machine Learning Ops Engineer to help us discover and implement state-of-the-art solutions…
",
186,newFinance Executive,ProVal Technologies,,,"Temporarily Remote in Pune, Maharashtra","
The founding team consists of engineers from IIT and a lawyer with a practice in the Supreme Court.
Provakil is a new-age legal operations management suite for…
",
187,newSoftware Engineer,eBay Inc.,,,Remote,"
We’re looking to hire an engineer with full stack experience to help build this new stack.
Responsibilities:Collaborate closely with architects and other…
",
188,newR&D Engineer,ABB,,,"Bengaluru, Karnataka","
In this role you will be reporting to the R&D Team Lead and responsible to identify, propose, and implement innovative technology, software and/or solutions by…
",
189,newComputer Vision Engineer,HyringNinja,,,"Vashi, Navi Mumbai, Maharashtra","
Designing and developing an OCR engine to extract structured text from images.
Build and deploy models for extracting signals for underwriting from image data.
",
190,Machine Learning Engineer,Samespace,,,"Remote in Mumbai, Maharashtra","
Analyze real world problems and identify AI and ML solutions.
Explore and visualize data to gain an understanding, and then identify differences in data…
",
191,newEntry Level Engineering Data Author,BOEING,,,"Chennai, Tamil Nadu","
These positions will focus on supporting the Boeing Corporate business organization.
A successful candidate will understand the importance of analyzing the…
",
192,"Computer Vision Engineer, Mapping - Autonomous Vehicles",NVIDIA,,,"Pune, Maharashtra","
NVIDIA's GPUs run Deep Learning algorithms, simulating human intelligence, and act as the brain of computers, robots and self-driving cars that can perceive and…
",
193,newSystem Specification Engineer,NOKIA,,,"Bengaluru, Karnataka","
System specification engineer owns multiple SON algorithms and drive enhancements/innovations in that area.
Minimum 15 years of experience with at least 5 years…
",
194,newAI/ML Engineer,Bosch Group,,,"Bengaluru, Karnataka","
Overall 5+ years of IT experience with minimum of 4+ years’ experience with data mining and statistical analysis techniques(in R, Python), data processing,…
",
195,newQA Engineer,Prevalent AI,,,"Kochi, Kerala","
The role of a QA Engineer involves defining and driving innovative automated testing strategies and toolsets into the overall development process, performing…
",
196,AI Solution Engineer,Helius Technologies,,,India,"
Manage diverse teams of AI engineers, software developers, data scientist and domain experts to effectively complete projects on tight deadlines.
",
197,Senior Cloud Operations Engineer,EagleView Technologies,,,"Bengaluru, Karnataka","
Communicate with software engineers about DevOps patterns and practices.
In cooperation with software engineers, machine learning teams, and finance, you will…
",
198,"Senior Data Engineer (Databricks,Pysaprk)",Mercedes-Benz Research and Development India...,,,"Bengaluru, Karnataka","
It is now one of the largest global R&D centers outside Germany, employing more than 3000 + skilled engineers.
Data wrangling of heterogeneous data.
",
199,MLOps Engineer (Amazon AWS),Zensar Technologies,,,"Pune, Maharashtra","
Must have worked as MLOps engineer in at least 2 projects.
As an MLOps Engineer, you will be well versed with MLOps practices and tools, working closely with…
",
200,Graphic Designer,Samespace,,,Remote,"
Experience designing, launching, and iterating on user-centered web and mobile products alongside engineers and product managers.
What’s in it for you:
",
201,Content Writer(Work From Office),Provakil,,,"Pune, Maharashtra","
The founding team consists of engineers from IIT and a lawyer with a practice in the Supreme Court.
Provakil is a new-age legal operations management suite for…
",
202,Machine Learning Engineer,Bravura Solutions,,,"Gurgaon, Haryana","
The Machine Learning Engineer implements our AI software automations from inception to production, working along our ML Researches.
",
203,AI/ML Engineer,Access Infotech,,,"Hyderabad, Telangana","
We are looking for an experienced, passionate AI ML engineer to join our team.
Job Title: AI / ML Engineer.
Duration: Fulltime with the Client.Introduction :
",
204,AI Software Development Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka","
Job Description: We are looking for experienced software engineers to join our Client AI team responsible for development of Windows AI software stack (ex.…
",
205,newSupport Engineer,Clari,,,"Bengaluru, Karnataka","
Clari uses AI and automation to drive growth and retention for high-performing revenue teams.
Clari’s market-leading Revenue Operations Platform is currently…
",
206,Data Science Engineer/Analyst,Invogue Creations,,,"Mumbai, Maharashtra","
Data Scientist 2-5 yrs.
Data points,basic Anaysis priovide inputs to various teams, onProduct optimization, sales and Monetization etc.
",
207,Senior 3D Printing Engineer,Vizara Technologies Private,,,"Noida, Uttar Pradesh","
Vizara is a technology start-up, founded by entrepreneurs holding PhDs from IIT Delhi, IIT Kharagpur, and MIT, offering knowledge-based solutions with Augmented…
",
208,Deep Learning Engineer,Bipolar Factory,,,"Remote in Bengaluru, Karnataka+1 location","
What we're looking for*.
We are looking for a strong and passionate Deep Learning Software Engineer to join our team at Bipolar factory.
What’s in it for you?*.
",
209,Senior Research Engineer (Natural Language Processing),Crimson Interactive,,,"Mumbai, Maharashtra","
We are a team of passionate researchers, data scientists, engineers, language lovers, linguists and designers building good automation and AI software for the…
",
210,newAI Computer Vision Developer,IBM,,,"Ahmedabad, Gujarat","
As a Data Scientist / Machine Learning engineer, you are part of the IBM Ecosystem Lab where you are responsible to design and develop custom computer vision…
",
211,newAssociate Engineer - Repair Engineering - Mech-Hyd Systems &...,BOEING,,,"Bengaluru, Karnataka","
This position will focus on supporting the Boeing Commercial Airplanes (BCA), Boeing Defense, Space and Security (BDS) and Boeing Global Services (BGS) business…
",
212,NLP Engineer,Cogno Al,,,"Temporarily Remote in Mumbai, Maharashtra","
To succeed in this role, you should possess outstanding skills in statistical analysis, machine learning methods and text representation techniques.
",
213,Senior Product Designer,Attentive AI Solutions Pvt Ltd,,,"Delhi, Delhi","
Suggest improvements to design and performance to product engineers.
You will be improving existing product designs and analysing working concepts launched by…
",
214,Product Analyst,GoKwik,,,Remote in India,"
Work collaboratively with product team members such as: product managers, engineering, design, as well as with core data team members such as DA and data…
",
215,Requirement for AI & ML Engineer,Profile Enterprises,,,"Jaipur, Rajasthan","
Automate the infrastructure used by the Data Science team.
Develop minimum viable products based on machine learning.
Total work: 4 years (Preferred).
",
216,Robotics Support Engineer,Movel AI,,,"Remote in New Delhi, Delhi+1 location","
Taking ownership of customer issues reported and seeing problems through to resolution.
Researching, diagnosing, troubleshooting and identifying solutions to…
",
217,Data Engineer,Cervello Inc,,,"Bengaluru, Karnataka","
You have experience with client projects and in handling vast amounts of data – working on database design and development, data integration and ingestion,…
",
218,Software Engineer,OurSelfStudy,,,"Varthur, Bengaluru, Karnataka","
Graduate with sound understanding on any subject Artificial Intelligence, Machine Learning.
Candidate should have experience of two completed projects of…
",
219,newProduction Strategy Engineer - Mechanical - Resource Centre...,SBM Offshore,,,"Bengaluru, Karnataka","
+ Be an advocate for system engineer thinking in the company and liaise with other technical departments in the company on the subject.
",
220,"Verification Engineer, Low Power",NVIDIA,,,"Bengaluru, Karnataka","
Today, NVIDIA’s GPU simulates human intelligence, running deep learning algorithms and acting as the brain of computers, robots, and self-driving cars that can…
",
221,newTiming Engineer (Physical Design),IBM,,,"Bengaluru, Karnataka","
Physical design team is responsible for designing high performance microprocessor blocks for IBM Power and z mainframe servers.
",
222,newEngineer,Deutsche Bank,,,"Pune, Maharashtra","
Transaction Surveillance is an integral part of Cash Management and has been established as a first line of defence function to build appropriate controls to…
",
223,Senior Systems Design Engineer - AI/ML,Xilinx,,,"Hyderabad, Telangana","
In this role, the individual will be responsible for creating system architecture specification that includes hardware and software architecture, performing…
",
224,Senior Data scientist,ZF,,,"Chennai, Tamil Nadu","
Lead technology innovation projects in the field of advanced analytics, including predictive maintenance and machine learning, for commercial vehicle,…
",
225,Machine Learning Engineer,IDfy,,,"Mumbai, Maharashtra","
Services that support key workflows for IDfy.
Quickly. We use a mix of conventional and hand-crafted deep learning models.
",
226,Senior Systems Design Engineer - AI/ML,Xilinx,,,"Hyderabad, Telangana","
In this role, the individual will be responsible for creating system architecture specification that includes hardware and software architecture, performing…
",
227,Senior Data scientist,ZF,,,"Chennai, Tamil Nadu","
Lead technology innovation projects in the field of advanced analytics, including predictive maintenance and machine learning, for commercial vehicle,…
",
228,Machine Learning Engineer,IDfy,,,"Mumbai, Maharashtra","
Services that support key workflows for IDfy.
Quickly. We use a mix of conventional and hand-crafted deep learning models.
",
229,AI Engineer,Continental AG,,,"Bengaluru, Karnataka","
Develop state-of-the-art algorithms in one or all of the following areas: deep learning (convolutional neural networks), structure from motion, object detection…
",
230,newGPU Software Development Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka+1 location","
Graphics and Platform Debug Openings:You will bring your broad understanding of Linux based platforms to integrate, enable and debug critical mega-feature use…
",
231,Clinical Research Informaticist,ConcertAI,,,"Bengaluru, Karnataka","
Working with engineers, data sources, data scientists, clinical stakeholders, and clients to advance understanding and use of our data.
",
232,DevOps Engineer,GoKwik,,,Temporarily Remote in India,"
It leverages AI/ML technologies to solve hard-hitting problems like RTO to increase CoD conversion rates.
GoKwik is looking for an Engineer to join our DevOps…
",
233,Machine Learning Engineer,TAC Security,,,"Bengaluru, Karnataka","
— Ensures software applications are built with quality while conforming to corporate and regulatory processes and practices by.
",
234,Senior Software Engineer - AI,QuEST Global Engineering,,,"Thiruvananthapuram, Kerala","
Required Skills: •Knowledge of machine learning (ML) and statistical modeling concepts.
Deep knowledge of ML concepts for classification, regression, clustering…
",
235,Senior Data Engineer,Pactera Edge,,,"Hyderabad, Telangana","
8+ years of experience in creating Data Platform Solutions.
5+ years of experience in implementing Data bricks, Data bricks Note book, Data Lakes, Data…
",
236,AI Frameworks Validation Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka","
Conducts design and development to build and optimize AI software.
Designs, develops, and optimizes for AI frameworks (e.g., OpenVINO) and to contribute to…
",
237,Deep Learning Inference & Compiler Engineer,"Deeplite, Inc.",,,"Remote in Bengaluru, Karnataka","
Deeplite uses AI to automatically make other AI models faster, smaller and more energy efficient creating highly compact, high-performance deep neural networks…
",
238,Support Engineer,Peak AI,,,"Pune, Maharashtra","
While communicating progress and verifying requirements with the users, you will diagnose, troubleshoot and triage support requests and coordinate with the…
",
239,"new(6400-1037) Staff Engineer - SerDes IP Subsystems, Verificat...",Achronix Semiconductor Corporation,,,"Bengaluru, Karnataka","
The India Technology Center leads all SoC development at Achronix Semiconductor, working on end-to-end design development, from architecture development all the…
",
240,Specialist-MLOps,ZF,,,"Hyderabad, Telangana","
Design the data pipelines and engineering infrastructure to support machine learning systems at scale.
Take offline models data scientists build and turn them…
",
241,Sr Research Engineer,Seagate Technology,,,"Pune, Maharashtra","
Work full time on projects at Pune in assisting Seagate Research Architect/leads in the area of most cutting-edge research in storage technologies.
",
242,ML/ AI Job Description,UNIWORKS DESIGNS,,,"Hyderabad, Telangana","
While computer science is an obvious choice for a field of study, deep learning research engineers also need strong mathematical skills and analytical skills…
",
243,SOC Design Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka+1 location","
Oversees definition, design, verification, and documentation for SoC (System on a Chip) development.
Determines architecture design, logic design, and system…
",
244,Engineer IIOT,Velox Automation,,,"Surat, Gujarat","
B.E/B.Tech. (Electronics/Instrumentation/Electrical/Computer/Industrial/IT) with 2-5 years experience.
Able to integrate real-time data from business systems,…
",
245,Data Scientist - I/II,sharechat,,,"Bengaluru, Karnataka","
Apply expert coding skills to develop scalable product features in partnership with other engineers on app and infrastructure teams.
",
246,newEngineer,Mahindra & Mahindra Ltd.,,,"Chennai, Tamil Nadu","
Support in identifying the Technologies and aligning with our Brand / Core Objective through Technology Frame-work and Development through TRL Process.
",
247,newSoftware Engineer,Gartner,,,"Hyderabad, Telangana","
Design and implement highly scalable web-based applications and services with Java, Spring, Cassandra distributed data store, Solr search, Kafka messaging and…
",
248,newSenior Engineer - Power Systems,EATON,,,"Hadapsar, Pune, Maharashtra","
This position enables the person hired to develop new technologies, improve existing products, acquire internal and external funding, lead discussions with…
",
249,AI Data Engineer with Scala,Lingaro Group,,,Remote in India,"
Cooperation with top-tier engineers and experts.
Working with Data Science teams to implement Machine Learning and statistical models into production.
",
250,Data Scientist – AI / Deep Learning for Automated Driving,Bosch Group,,,"Bengaluru, Karnataka","
1.You are developing video perception algorithms for unsolved problems in the technology area – perception for autonomous drive vehicles.
",
251,Senior Software Engineer-R&D,Flytxt Mobile Solutions,,,"Thiruvananthapuram, Kerala","
Sc in Computer Science or a related discipline (Applied Mathematics, Statistics, Electrical and/or Computer Engineering) or MCA.
",
252,"new(6400-1066) Senior Design Engineer, Verification",Achronix Semiconductor Corporation,,,"Bengaluru, Karnataka","
Type of Position: Regular, Exempt.
Reports to: Sr. Manager/Director, Hardware Engineering.
The Hardware Engineering group in India is responsible for all SoC…
",
253,Research Software Engineer,IBM,,,"Bengaluru, Karnataka","
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",
254,IT Admin Desktop Support Engineer,AIMLEAP,,,Remote,"
6 months to 1 Year Experience.
We are looking for a dedicated support team member that can assist with fixing connection problems, troubleshooting hardware…
",
255,Python Engineer,MetaMap,,,"Bengaluru, Karnataka","
Maintaining production codebase for computer-vision & deep learning project (set of dockerized backend services).
Monitoring the system in production.
",
256,Python Engineer,MetaMap,,,"Bengaluru, Karnataka","
Maintaining production codebase for computer-vision & deep learning project (set of dockerized backend services).
Monitoring the system in production.
",
257,OCP Development Engineer,IBM,,,"Bengaluru, Karnataka","
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",
258,newMachine Learning Engineer,Ericsson,,,"Bengaluru, Karnataka","
A specialist software engineer with experience building large-scale systems and enjoys optimizing systems and evolving them.
",
259,Machine Learning Engineer,OptiSol,,,"Chennai, Tamil Nadu","
Contribute towards building data pipelines in AWS, utilizing a variety of services.
Contribute to data strategy for our clients through research into best…
",
260,newAutomation Test Engineer,IDS Infotech,,,"Chandigarh, Chandigarh","
Total experience: Minimum 4to 6 years.
Minimum 3 years of proven experience in Test Automation framework, Design, and Implementation.
",
261,ASIC Logic Engineers,Talent Basket,,,"Remote in Bengaluru, Karnataka","
Extensive experience in ASIC designing, RTL programming, Micro architecture on major blocks, Verilog & Verification skills,.
Across 4- 15 years of experience.
",
262,Mechanical Engineer - Analysis and Simulations,Unbox Robotics,,,"Pune, Maharashtra","
Formulate Mathematical models and other methods of computer analysis to develop and evaluate the design of systems.
Create Structural models and assemblies.
",
263,Network Design Engineer,Prodapt SA,,,"Hyderabad, Telangana","
ARAMIS ( AT&T network design tool) and AutoCAD (for design of Network layouts).
FTT Telecommunications Network Drafting/Designing/Planning .
",
264,Research Engineer II,BLAIZE,,,"Hyderabad, Telangana","
Hands on experience on Computer Vision (CV), Machine Learning (ML), Deep Learning (Neural Network (NN), CNN, DNN, RNN), Reinforcement Learning (RL), Linear…
",
265,High Speed Input/Output Silicon Validation Engineer,Google,,,"Bengaluru, Karnataka","
Bachelor's degree in Computer/Electrical Engineering, Computer Science or equivalent practical experience.
3 years of experience in Silicon Validation.
",
266,newUX Designer,Eightfold AI India Pvt Ltd,,,"Remote in Bengaluru, Karnataka+1 location","
Have contributed as a design partner and a strong collaborator with product managers and engineers.
Work closely with Product Managers to identify the problems,…
",
267,Engineer - RSA Archer,Amex,,,"Gurgaon, Haryana","
The successful candidate for this role will continue to grow their knowledge and skills with RSA archer into an experienced hands-on engineer with the tool.
",
268,Associate Liaison Engineer,BOEING,,,"Bengaluru, Karnataka","
A successful candidate will be part of Manufacturing Engineering team responsible for providing timely resolutions for the non-conformances and shop requests…
",
269,Golang/Python with Kubernetes Engineer,WAVELABS TECHNOLOGIES,,,"Hyderabad, Telangana","
Python / Golang Developer with Kubernetes - 3+ Years.
Hands-on experience & Very strong in Python / Golang Programming (at least 2 years of practical experience…
",
270,TMD - R&D - Mechatronics - Embedded Software Engineer,Lakshmi Machine Works,,,"Coimbatore, Tamil Nadu","
Responsible for developing Machine application software through Modular Programming(Embedded Software) as per SDLC and AGILE SCRUM methodology.
",
271,AI/ML Architect,Cyient,,,"Pune, Maharashtra","
Provide design input specifications, requirements, and guidance to software engineers for algorithm implementation.
Certifications in ML, Deep Learning.
",
272,Executive / Sr. Executive,Indigo Airlines,,,"Gurgaon, Haryana","
Executive / Sr. Executive (FDM) will be responsible for:
Downloading & Reconciliation of Flight data.
Timely preparation of CVR and FDR readout reports as and…
",
273,Associate Systems Engineer,IBM,,,"Bengaluru, Karnataka","
Will design, develop and/or re-engineer application components, and integrate software packages, programs, and reusable objects residing on multiple platforms.
",
274,newChief Technology Officer,Khushi Baby,,,"Jaipur, Rajasthan","
You’ve managed, mentored, and inspired a small team of engineers providing architectural guidance, code reviews, etc.
",
275,Data Engineer – Fresher,FACTANA,,,"Chennai, Tamil Nadu","
Minimum 0 – 1 years of experience in Data Engineering using Python.
Develop complex SQL database structure, schema and models to achieve data processing needs.
",
276,newSystem Engineer – L2 Support,CustomerXPs,,,"Mumbai, Maharashtra","
Render exceptional first-tier phone/email support for efficient resolution of technology and functional problems across all products.
",
277,Software Engineer - Backend,Bluecore,,,Remote,"
Work cross-functionally with product managers, data scientists, and engineers to deliver high-quality products.
",
278,Engineer - PD,Cyient,,,"Hyderabad, Telangana","
Good Knowledge e and hands-on experience on Netlist2GDSII Implementation i.e.
Floor planning, Placement Routing or STA or Physical Verification.
",
279,Runtimes and Middleware Optimization Engineer,Intel,,,"Bengaluru, Karnataka","
Our developers and software engineers work in all software layers, across multiple operating systems and platforms to enable cutting-edge solutions.
",
280,newVerification Engineer,NVIDIA,,,"Bengaluru, Karnataka+1 location","
We are now looking for RTL Design engineers for our Security Subsystem Design deployed in Automotive, GPU, DPU and Client chips.
",
281,newIP Connectivity Engineer,Ericsson,,,"Noida, Uttar Pradesh","
To provide support on Incidents, Problem resolutions and technical operations/deployments on wide area network technologies & Products such as Routers, Switches…
",
282,Machine Learning Engineer,Armorblox,,,"Bengaluru, Karnataka","
2+ years of work experience as a machine learning engineer, data scientist and software developer.
As a key member of the Engineering team, you will be…
",
283,newSenior Engineer- Machine Learning,Eightfold.AI,,,India,"
We are building the upcoming Job Intelligence Engine to define Job Architecture in an organization.
With the power of machine learning, we are solving problems…
",
284,Assistant Manager - Quality Assurance/ Control EMS (Electron...,Sahasra Electronic Pvt . Ltd,,,"Noida, Uttar Pradesh","
Reducing rejections and repairing in field by involving other stake holders in loop and driving improvement actions managing a team of service engineers and…
",
285,Software Engineer (R&D),Read-Ink Technologies Pvt Ltd,,,"Bengaluru, Karnataka","
(Computer Science, Electrical Engineering) from IITs or NITs (Candidates from other streams with relevant background as given below may also apply).
",
286,new_VOIS India Big Data & Analytics,Vodafone,,,"Remote in Pune, Maharashtra","
Amazon Web Services (AWS), Business Insights, Optimization, Python (Programming Language), Credit Risk, Statistical Learning, Statistics, Analytics, Big Data,…
",
287,newBoomi Senior Principal AI/ML Engineer,Boomi,,,"Bengaluru, Karnataka","
Collaborate closely with data scientists, data engineers, and software engineers in a multidisciplinary work environment.
",
288,Block Chain - Lead Engineer,Prodapt SA,,,"Chennai, Tamil Nadu","
Working experience with Hyperledger / Ethereum or any of the industry leading distributed ledger platforms.
Ledge Databse Hyperledger Fabric Distributed ledgers…
",
289,Lead Engineer,Collins Aerospace,,,"Hyderabad, Telangana","
The candidate will be part of the Advanced Technology team which is working on Research and Innovation projects that redefine the aerospace.
",
290,newPCB Layout Design Engineer,Kritikal Solutions,,,"Greater Noida, Uttar Pradesh","
Role: Design & Engineering, Product Testing, Prototyping.
Functional Area: Electronics hardware design, motherboard design.
",
291,Sailpoint Developer,Findability Sciences,,,Remote,"
Primary Skill: 2+ years of experience in end-to-end SailPoint IdentityIQ (IIQ) implementation.*.
Secondary Skill(s): Good to have an understanding of OAUTH,…
",
292,Senior Software Engineer,Life Tree Consulting,,,"Noida, Uttar Pradesh","
Work alongside other engineers on the team to elevate technology and consistently apply best practices.
Design and develop a processing platform using various…
",
293,AI Solution Engineer,Intel,,,"Hybrid remote in Bengaluru, Karnataka","
Total 6+ years of experience in the industry with at least 3+ years in AI domain.
Minimum three years of hands-on experience applying machine learning…
",
294,Senior Software Engineer,ZoomRX Health Care,,,"Remote in Chennai, Tamil Nadu","
Re-engineer current systems to allow for flexibility, stability, and scalability while preserving existing functionality.
",
295,newDisaster Recovery Software Development Engineer,IBM,,,"Kochi, Kerala","
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",
296,System Test Engineer - eMobility Solutions,Siemens Technology and Services Private Limited,,,"Bengaluru, Karnataka","
As System Test Engineer - eMobility charging Solutions ,you will be part of a highly dynamic, modern, and distributed development team contributing and driving…
",
297,Python Developer,The Skillions,,,"Gurgaon, Haryana","
Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.
",
298,Sr. UI/UX Designer,Streak AI Technologies,,,"Bengaluru, Karnataka","
Gather and evaluate user requirements in collaboration with product managers and engineers.
This includes mobile responsive websites and mobile apps (Android…
",
299,"CPU Performance Engineer, Devices and Services",Google,,,"Bengaluru, Karnataka","
Leveraging your CPU-specific knowledge and expertise, you’ll be working with engineers in power, thermal, security, physical design and other subsystem teams on…
",
300,"Engineer / Senior Engineer - Production, Planning & Control...",Metso Outotec,,,"Alwar, Rajasthan","
This position is responsible for the daily work management of Order Office.
Must be strong in data analytics, Excel & Power Point.
",
301,"CPU Performance Engineer, Devices and Services",Google,,,"Bengaluru, Karnataka","
Leveraging your CPU-specific knowledge and expertise, you’ll be working with engineers in power, thermal, security, physical design and other subsystem teams on…
",
302,"Engineer / Senior Engineer - Production, Planning & Control...",Metso Outotec,,,"Alwar, Rajasthan","
This position is responsible for the daily work management of Order Office.
Must be strong in data analytics, Excel & Power Point.
",
303,newDirector of Security Operations,ai,,,"Bengaluru, Karnataka","
About [24]7.ai [24]7.ai uses artificial intelligence, human insight, and deep vertical expertise to produce personalized, consistent, and satisfying customer…
",
